time,Azimuth,Pitch,Roll
6.805826,83.297,8.762,1.195
6.806204,83.233,8.817,1.107
6.807111,83.158,8.848,1.167
6.883037,83.227,8.848,1.167
6.925159,83.227,8.848,1.167
6.984435,83.441,8.750,1.051
6.985013,83.492,8.716,1.079
6.985308,83.230,8.870,1.052
6.985678,83.083,8.908,1.265
6.985892,83.494,8.697,1.167
6.986041,83.364,8.791,1.067
6.986207,83.399,8.751,1.167
6.986476,83.451,8.733,1.109
6.986851,83.380,8.756,1.194
7.082735,82.188,8.756,1.194
7.103135,82.188,8.756,1.194
7.164818,82.197,8.751,1.195
7.165474,82.101,8.793,1.250
7.166058,81.970,8.881,1.194
7.166980,82.250,8.733,1.138
7.167490,82.205,8.750,1.179
7.167811,82.171,8.766,1.193
7.168036,82.099,8.806,1.195
7.168556,82.117,8.800,1.180
7.169021,82.459,8.631,1.052
7.283302,84.934,8.631,1.052
7.283627,84.934,8.631,1.052
7.344829,84.646,8.770,1.208
7.345723,84.604,8.809,1.124
7.347007,84.781,8.705,1.138
7.347851,84.707,8.748,1.136
7.348494,84.572,8.814,1.198
7.349141,84.699,8.737,1.223
7.349692,84.769,8.724,1.065
7.350014,84.720,8.755,1.050
7.350376,84.448,8.880,1.224
7.463713,84.448,8.880,1.224
7.482550,83.441,8.880,1.224
7.523981,83.688,8.746,1.180
7.524568,83.713,8.718,1.251
7.525115,83.607,8.808,1.108
7.525331,83.486,8.860,1.195
7.525710,83.553,8.827,1.167
7.525912,83.647,8.782,1.122
7.526088,83.910,8.636,1.095
7.526404,83.677,8.770,1.094
7.526587,83.583,8.821,1.108
7.644859,83.583,8.821,1.108
7.683001,82.985,8.821,1.108
7.705770,83.086,8.752,1.165
7.706230,83.129,8.736,1.122
7.708925,83.133,8.731,1.137
7.709430,83.016,8.801,1.121
7.709719,83.063,8.780,1.094
7.710009,82.864,8.867,1.222
7.710736,82.979,8.804,1.209
7.711066,82.982,8.811,1.167
7.711347,82.985,8.801,1.206
7.823338,82.985,8.801,1.206
7.885184,83.017,8.809,1.081
7.885787,84.308,8.809,1.081
7.886145,84.232,8.827,1.223
7.886780,84.410,8.726,1.193
7.887022,84.267,8.809,1.208
7.887269,84.219,8.844,1.180
7.887775,84.306,8.794,1.163
7.888095,84.373,8.754,1.165
7.888304,84.224,8.846,1.152
7.888485,84.233,8.846,1.124
8.002908,84.233,8.846,1.124
8.064736,84.220,8.854,1.121
8.065150,84.435,8.722,1.136
8.065321,84.373,8.751,1.181
8.065849,84.379,8.753,1.153
8.067089,84.463,8.708,1.122
8.067443,84.393,8.761,1.066
8.068206,84.267,8.826,1.123
8.068600,84.359,8.752,1.222
8.068786,84.283,8.794,1.238
8.081482,81.687,8.794,1.238
8.184062,81.687,8.794,1.238
8.244387,81.799,8.739,1.195
8.245620,81.609,8.844,1.223
8.246388,81.742,8.773,1.192
8.246876,81.713,8.810,1.108
8.247169,81.798,8.740,1.193
8.247577,81.585,8.865,1.193
8.247886,81.831,8.724,1.179
8.248328,81.762,8.768,1.165
8.248559,81.800,8.742,1.180
8.283909,83.923,8.742,1.180
8.364531,83.923,8.742,1.180
8.424458,83.944,8.725,1.206
8.426052,83.763,8.822,1.238
8.427009,83.816,8.801,1.192
8.427449,83.923,8.737,1.209
8.428034,83.789,8.830,1.123
8.428402,83.797,8.808,1.209
8.428691,83.874,8.768,1.193
8.428968,83.934,8.747,1.123
8.429692,83.827,8.811,1.110
8.487028,83.669,8.811,1.110
8.547021,83.669,8.811,1.110
8.604232,83.596,8.850,1.124
